a,b,c,d,e,f,phi,error
-1.7154503491862279,-0.2847224782823624,71.75716400146484,-1.7317486210838058,-0.15690382911163392,71.30850570198284,25.047868728637695,0.12885356317415964
-1.676701400318677,-0.23928403208616217,71.53762817382812,-1.713004368663879,-0.10149913480505243,71.30820258210834,25.039875030517578,0.14248713425933826
-1.4946249223331356,0.4972951984789985,71.40644073486328,-1.4849387463392225,0.5725816984455232,71.30557455281662,5.865804672241211,0.07590704237812577
-1.4577439617706143,0.5685708439920106,71.75218200683594,-1.4599458810749553,0.6464444560318163,71.30501798510693,5.872427463531494,0.0779047360610958
-1.4255451825472185,0.6310221663355867,72.11555480957031,-1.4380761807686224,0.711075323149323,71.30449472560473,5.874176502227783,0.08102798178573545
-1.3938279310817836,0.7044374543589861,72.04398345947266,-1.4162014002720735,0.7757184899932239,71.30399578138699,5.852835178375244,0.07470982642663772
-1.368889122738154,0.7697674223914532,71.60005950927734,-1.394327844697212,0.8403545977264782,71.30368976440546,5.847827911376953,0.0750311794968453
-1.3451281777825517,0.824812447706708,71.46370697021484,-1.3693316315575392,0.9142195358467973,71.30320773224761,5.8432087898254395,0.09262523729701126
-1.3165188966283794,0.8780473245837098,72.15296173095703,-1.344331502835208,0.9880930815043962,71.30279872241451,5.854704856872559,0.11350598962285174
-1.3139930775078694,1.229902284130713,72.03199005126953,-1.2349553071730832,1.3112742310409522,71.30170098226577,-13.331852912902832,0.11343880677906126
-1.3151994972792282,1.3007592241475816,71.48149871826172,-1.2224587790246448,1.3481995003308993,71.30137855453756,-13.315319061279297,0.10417015228329793
-1.3075410447564229,1.3904674408391828,71.44479370117188,-1.2033004643781389,1.4106010272906333,66.52770490862075,-13.299072265625,0.10616713192414833
-1.3217140059802301,1.4148097428877326,68.51376342773438,-1.1863053593942465,1.4566154125167214,60.619669307337965,-15.427412033081055,0.14171526235157583
-1.351187743102674,1.454934502850961,63.11795425415039,-1.1646669443230984,1.5006393119516659,54.71173553058295,-18.59450340270996,0.19203889697741655
-1.0995916952808762,1.542091992609707,45.26784896850586,-1.0894407279610485,1.601488364049176,39.51965422111067,16.368101119995117,0.0602575395921836
-1.060781897210343,1.5846310396877021,39.13393020629883,-1.0479903183189736,1.639218726706483,32.767956465838374,9.751727104187012,0.05606638979455082
-1.0368510493722174,1.638363499190126,32.55974578857422,-0.9964328426525446,1.6755028375848333,26.015735909722252,4.266451835632324,0.05489045354914449
-0.257250989408055,1.1584714592204284,-105.2595443725586,-0.29398093328141434,1.1292533650994407,-112.40043754528831,-6.4628448486328125,0.046933844941609223
-0.22829708490022255,1.098233132560698,-112.58650207519531,-0.3194221879742816,1.0639922964740687,-120.84039500253408,-12.667033195495605,0.09734587441781653
-0.21358984262052144,1.039185476202414,-118.02684020996094,-0.33919173853015877,1.0268815551830612,-125.90439815324565,-17.56365966796875,0.12620310110510694
-0.17466689217113227,1.0007513172008706,-125.36083221435547,-0.36629131330123066,0.9859931957499709,-132.6564577257196,-22.40639305114746,0.19219188568252513
-0.5002340020687246,0.921073745391281,-121.91465759277344,-0.5029543460354435,0.8195417174351969,-115.43573933445101,28.385435104370117,0.10156846445709565
-0.5839830295576317,0.37869547688523764,-69.17061614990234,-0.5335105342625113,0.31792983058474095,-62.66427819711149,10.423486709594727,0.07899326902738626
-0.5914407631199174,0.2908651632618302,-63.51829147338867,-0.5148289193569413,0.27810073388782974,-58.20682315184922,15.86799144744873,0.0776679165550777
-0.617296020369949,0.2369976333075493,-57.18669891357422,-0.48115126069563396,0.22138110103697203,-51.52069232444231,20.69577407836914,0.137037482707962
-0.29152218019538084,0.0011535783581939907,-21.67013168334961,-0.21217250214608993,0.01068168858414099,-15.78217197446552,11.68309211730957,0.0799196865046649
-0.24839513763903487,-0.05210394277838462,-16.190879821777344,-0.16326144032875795,-0.004852774798969131,-9.8386725926947,17.146060943603516,0.09736744472942069
-0.23891303912309914,-0.08559580300598288,-11.34995174407959,-0.1131537199654224,-0.01588916566727334,-4.638350075333848,21.409652709960938,0.14378602729080728
0.04856856281251923,0.10583428793670001,31.631826400756836,0.2935760891691316,0.0685300888890297,37.70753716582429,-15.99972152709961,0.24783117487106884
0.1066922873590429,0.11388148785315957,37.857723236083984,0.34652144904746274,0.10787161097169237,45.136625268868265,-13.978950500488281,0.2399044505971088
0.6058264516612559,0.38238063677697204,14.204568862915039,0.6198616355018417,0.5184264321025628,6.483187976790431,19.800003051757812,0.13676785006430264
0.5926283045035602,0.41869940423691676,8.072571754455566,0.6182601629808685,0.5232513545867553,0.9612026613158388,15.436389923095703,0.10764804917394401
0.5923662732411166,0.45186595093292237,2.571962833404541,0.6174460588813975,0.5281434043846891,-5.2860743822558325,11.699055671691895,0.08029474175093211
0.6246216232880889,0.48544731640747746,-3.955045223236084,0.6172154334219913,0.5318499797739359,-9.958990293888434,7.27024507522583,0.04698998633574552
0.6376409777896135,0.5075644371523651,-8.7395658493042,0.6580540341972896,0.5253118454104808,-14.40820205718205,3.418294906616211,0.02704927673308845
0.6539739528440645,0.5363534807570733,-14.224920272827148,0.7336099413180523,0.5059222291301602,-14.4032990528201,-0.3373316824436188,0.08525228287740827
0.7414682463007816,0.5152515712215932,-14.279460906982422,0.7902530816739337,0.4913752598515765,-14.403641030440646,-0.3224213123321533,0.05431425602016053
0.808630942014327,0.495255702499603,-13.82138442993164,0.8752204757784987,0.46953742507498647,-14.406800768731806,-0.3179520070552826,0.0713834420620028
